metric,mean,ci_low,ci_high,n_trials
rmse_skill_vs_delta,-0.004258872491573369,-0.0047423977129024564,-0.0038311803896645138,50
rmse_skill_vs_level,0.49787056375421335,0.4976288011435488,0.4980844098051677,50
f1_event,0.9808112107134473,0.9805958247347825,0.9810044179832409,50
