epoch,loss,val_loss
0,39.93150329589844,27.77764129638672
1,23.948856353759766,17.382009506225586
2,14.663016319274902,10.108742713928223
3,8.677084922790527,7.372401237487793
4,6.2959489822387695,4.712717533111572
5,4.947570323944092,4.09236478805542
6,4.066521644592285,3.7676119804382324
7,3.42325496673584,2.885511636734009
8,3.1297783851623535,2.2746517658233643
9,2.6804773807525635,1.9880585670471191
10,3.0373308658599854,2.2930827140808105
11,2.07839035987854,1.9160593748092651
12,1.895923376083374,1.5415767431259155
13,1.8213731050491333,1.6167265176773071
14,1.5093259811401367,1.1385211944580078
