epoch,loss,mae,val_loss,val_mae
0,0.7985200881958008,0.7044599652290344,4.013725280761719,1.924659252166748
1,0.4881214201450348,0.5317768454551697,2.521759510040283,1.4965200424194336
2,0.3621651530265808,0.4404316544532776,1.6591238975524902,1.1753829717636108
3,0.3255850374698639,0.4089437425136566,1.3697662353515625,1.0444540977478027
4,0.31608110666275024,0.3994540274143219,1.3454357385635376,1.0336189270019531
5,0.3119567632675171,0.3958970606327057,1.3214006423950195,1.022355556488037
6,0.30962249636650085,0.3961156904697418,1.3239367008209229,1.0237646102905273
7,0.303335040807724,0.3899327218532562,1.306909441947937,1.0161634683609009
8,0.30152034759521484,0.38688549399375916,1.2773241996765137,1.0023419857025146
9,0.29720988869667053,0.3860715627670288,1.2730982303619385,1.0003645420074463
10,0.2939858138561249,0.38278305530548096,1.2623941898345947,0.9963258504867554
11,0.29715612530708313,0.38600847125053406,1.2548094987869263,0.9932481050491333
12,0.2931565046310425,0.38228681683540344,1.2331615686416626,0.9829874038696289
13,0.28645727038383484,0.377723753452301,1.2705960273742676,1.0016963481903076
14,0.2879531681537628,0.37800467014312744,1.3065184354782104,1.0201520919799805
15,0.2832322418689728,0.3741387724876404,1.2508188486099243,0.9937677979469299
16,0.2832532823085785,0.37470024824142456,1.2420107126235962,0.9901208877563477
17,0.2780093848705292,0.3714882433414459,1.2702784538269043,1.0048547983169556
