epoch,learning_rate,loss,mae,val_loss,val_mae
0,9.999999747378752e-05,0.8914787173271179,0.7753146886825562,1.8219587802886963,1.2132993936538696
1,9.999999747378752e-05,0.392511785030365,0.4898774325847626,0.6489629745483398,0.6868522763252258
2,9.999999747378752e-05,0.1337229609489441,0.2579638659954071,0.23585866391658783,0.37951430678367615
3,9.999999747378752e-05,0.056974995881319046,0.16064392030239105,0.16759726405143738,0.31742656230926514
4,9.999999747378752e-05,0.05103153735399246,0.15545734763145447,0.1671234518289566,0.3173843026161194
5,9.999999747378752e-05,0.04837373271584511,0.15282882750034332,0.1537465900182724,0.3037073612213135
6,9.999999747378752e-05,0.0475749634206295,0.14759203791618347,0.13623715937137604,0.2850683331489563
7,9.999999747378752e-05,0.04579272121191025,0.14544910192489624,0.13253170251846313,0.28116732835769653
8,9.999999747378752e-05,0.04186033830046654,0.14083929359912872,0.12131568044424057,0.26840853691101074
9,9.999999747378752e-05,0.041299667209386826,0.1360723227262497,0.11502070724964142,0.26098182797431946
10,9.999999747378752e-05,0.040814969688653946,0.136254221200943,0.10768059641122818,0.2520197629928589
11,9.999999747378752e-05,0.039344049990177155,0.132474884390831,0.10317657142877579,0.2464786171913147
12,9.999999747378752e-05,0.038836464285850525,0.1297922283411026,0.09537924826145172,0.23595020174980164
13,9.999999747378752e-05,0.03739389032125473,0.12861338257789612,0.08223633468151093,0.21761396527290344
14,9.999999747378752e-05,0.03628994897007942,0.12640497088432312,0.08875801414251328,0.22754794359207153
15,9.999999747378752e-05,0.0356469489634037,0.12381655722856522,0.07795585691928864,0.21186238527297974
16,9.999999747378752e-05,0.03388618677854538,0.12248532474040985,0.07812465727329254,0.21277478337287903
17,9.999999747378752e-05,0.0333884097635746,0.12054276466369629,0.07470820844173431,0.2078692466020584
18,9.999999747378752e-05,0.03310493752360344,0.1197647899389267,0.07489890605211258,0.20853358507156372
19,9.999999747378752e-05,0.032272133976221085,0.11692442744970322,0.07077090442180634,0.20241250097751617
20,9.999999747378752e-05,0.03317146375775337,0.11629587411880493,0.062374990433454514,0.18886098265647888
21,9.999999747378752e-05,0.02992508001625538,0.11169756948947906,0.06188196688890457,0.18826735019683838
22,9.999999747378752e-05,0.030476441606879234,0.11264483630657196,0.05759964510798454,0.18108060956001282
23,9.999999747378752e-05,0.02974330447614193,0.11168394982814789,0.05981241166591644,0.18513822555541992
24,9.999999747378752e-05,0.028929119929671288,0.11001622676849365,0.05638996511697769,0.17932471632957458
25,9.999999747378752e-05,0.03007831797003746,0.11073950678110123,0.05270596966147423,0.1726803183555603
26,9.999999747378752e-05,0.0293512511998415,0.10916933417320251,0.05495413765311241,0.1769503653049469
27,9.999999747378752e-05,0.027948874980211258,0.10695862025022507,0.04889716953039169,0.16531166434288025
28,9.999999747378752e-05,0.028352323919534683,0.10701888054609299,0.04542548581957817,0.15822918713092804
29,9.999999747378752e-05,0.02796831540763378,0.10664546489715576,0.04962875694036484,0.16681179404258728
30,9.999999747378752e-05,0.02831129916012287,0.10585815459489822,0.04715602099895477,0.16184347867965698
31,4.999999873689376e-05,0.02748725935816765,0.1055394783616066,0.04858480766415596,0.16469687223434448
32,4.999999873689376e-05,0.027174528688192368,0.10431332886219025,0.04559707269072533,0.15850891172885895
